# LC-RV reference data -- mineral oil, annular-gap study.
# Source workbook: 'Rotational Viscometer Data.xlsx', sheet 'Sasanka Gylcerol and Oil' (columns O-39.5mm .. O-42.5mm).
# Instrument geometry for this dataset: cup inner diameter 45.0 mm, wetted bob height 25.0 mm.
# Bobs 39.5 / 40.5 / 41.5 / 42.5 mm give annular gaps 2.75 / 2.25 / 1.75 / 1.25 mm.
# load_cell_g is a single raw replicate reading. Every column prefixed 'wb_' is a value COMPUTED IN THE WORKBOOK for the whole RPM group and is repeated on each replicate row of that group; wb_ values are NOT independent measurements.
# The workbook used the narrow-gap model: wb_shear_rate_1s = omega*R_b/G and wb_shear_stress_Pa = F(N)/(2*pi*R_b*h), with F(N) = load_cell_g * 9.81 / 1000. These are reproduced exactly as published.
# FIGURE MAPPING: this sweep is the mineral-oil companion of the 45 mm cup 80 % glycerol gap sweep behind paper Fig. 3, recorded in the same session. No numbered figure plots it directly -- the paper's mineral-oil panels (Fig. 2) come from the 'Miriam' sheets, published here as stress-strain-summary.csv and load-cell-response-timeseries.csv.
fluid,concentration_pct,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,rpm,rpm_nominal,replicate,load_cell_g,wb_group_mean_load_cell_g,wb_angular_velocity_rad_s,wb_bob_surface_velocity_m_s,wb_shear_rate_1s,wb_shear_stress_Pa,wb_viscosity_Pas,source_sheet,source_column
mineral oil,,45,39.5,2.75,25,240,240,10,1.16,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,11,1.16,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,12,1.16,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,13,1.16,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,240,240,14,1.18,1.158571429,25.13274123,0.4963716393,180.4987779,3.663572957,0.02029694051,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,1,1.17,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,2,1.23,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,3,1.3,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,4,1.29,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,5,1.3,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,6,1.28,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,7,1.3,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,8,1.3,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,9,1.28,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,10,1.28,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,11,1.29,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,12,1.29,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,13,1.29,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,260,260,14,1.28,1.277142857,27.22713633,0.5377359425,195.5403427,4.038513223,0.02065309473,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,280,280,1,1.29,1.355,29.32153143,0.5791002458,210.5819076,4.284708939,0.02034699462,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,280,280,2,1.33,1.355,29.32153143,0.5791002458,210.5819076,4.284708939,0.02034699462,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,280,280,3,1.38,1.355,29.32153143,0.5791002458,210.5819076,4.284708939,0.02034699462,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,280,280,4,1.37,1.355,29.32153143,0.5791002458,210.5819076,4.284708939,0.02034699462,Sasanka Gylcerol and Oil,O-39.5mm
mineral oil,,45,39.5,2.75,25,280,280,5,1.37,1.355,29.32153143,0.5791002458,210.5819076,4.284708939,0.02034699462,Sasanka Gylcerol and Oil,O-39.5mm
