# LC-RV reference data -- glycerol concentration series (20-100 % by mass).
# Source workbook: 'Rotational Viscometer Data.xlsx', sheet 'Sasanka Gylcerol and Oil 2' (columns G_100% 43mm .. G_20% 43mm).
# Instrument geometry: cup inner diameter 46.0 mm, bob 43.0 mm, annular gap 1.5 mm, wetted bob height 25.0 mm.
# BELOW-DETECTION CONVENTION: a load_cell_g of exactly 0 (and the small negative values in the 20-60 % columns) are GENUINE readings at or below the instrument's detection floor -- they are NOT missing data. An empty cell means no reading was recorded. Do not drop the zeros.
# load_cell_g is a single raw replicate reading. Columns prefixed 'wb_' are workbook-computed per-RPM-group values, repeated on every replicate row of that group.
# wb_series_mean_viscosity_Pas / wb_series_sd_viscosity_Pas are the workbook's mean and SD of wb_viscosity_Pas over the whole 120-400 RPM sweep for that concentration. wb_literature_viscosity_Pas is the reference value the workbook compared against (see data/README.md -- these are 25 C Sheely values except the 100 % entry).
# Workbook model (as published): wb_shear_rate_1s = omega*R_b/G, wb_shear_stress_Pa = F(N)/(2*pi*R_b*h), with F(N) = load_cell_g * 9.81 / 1000.
# Corresponds to paper Fig. 4A (shear stress vs shear rate) and Fig. 4B (measured vs literature viscosity bars).
fluid,concentration_pct,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,rpm,rpm_nominal,replicate,load_cell_g,wb_group_mean_load_cell_g,wb_angular_velocity_rad_s,wb_bob_surface_velocity_m_s,wb_shear_rate_1s,wb_shear_stress_Pa,wb_viscosity_Pas,source_sheet,source_column,wb_series_mean_viscosity_Pas,wb_series_sd_viscosity_Pas,wb_literature_viscosity_Pas
glycerol,100,46,43,1.5,25,150,150,19,22.43,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,150,150,20,22.44,22.2695,15.70796327,0.3377212103,225.1474735,64.68761462,0.2873121942,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,1,22.49,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,2,23.4,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,3,23.94,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,4,23.94,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,5,23.99,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,6,24.01,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,7,23.94,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,8,23.97,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,9,24.02,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,10,24.03,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,11,23.97,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,12,24.01,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,13,24.08,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,14,24.02,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,15,23.99,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,16,24.07,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,17,24.11,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,18,24.03,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,19,24.03,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,160,160,20,24.08,23.906,16.75516082,0.3602359576,240.1573051,69.44125891,0.2891490596,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,170.07,170,1,24.17,25.5525,17.80235837,0.382750705,255.1671366,74.22395082,0.2908836608,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,170.07,170,2,25.05,25.5525,17.80235837,0.382750705,255.1671366,74.22395082,0.2908836608,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
